year_film,year_award,ceremony,category,nominee,film,win
2009,2010,67,Best Performance by an Actor in a Television Series - Musical or Comedy,Thomas Jane,Hung,FALSE
2009,2010,67,Best Performance by an Actor in a Television Series - Musical or Comedy,Matthew Morrison,Glee,FALSE
2009,2010,67,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Chloë Sevigny,Big Love,TRUE
2009,2010,67,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jane Adams,Hung,FALSE
2009,2010,67,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rose Byrne,Damages,FALSE
2009,2010,67,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jane Lynch,Glee,FALSE
2009,2010,67,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Janet McTeer,Into The Storm,FALSE
2009,2010,67,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",John Lithgow,Dexter,TRUE
2009,2010,67,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Michael Emerson,Lost,FALSE
2009,2010,67,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Neil Patrick Harris,How I Met Your Mother,FALSE
2009,2010,67,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",William Hurt,Damages,FALSE
2009,2010,67,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jeremy Piven,Entourage,FALSE
2009,2010,67,Cecil B. deMille Award,Martin Scorsese,,FALSE
2010,2011,68,Best Motion Picture - Drama,The Social Network,,TRUE
2010,2011,68,Best Motion Picture - Drama,Black Swan,,FALSE
2010,2011,68,Best Motion Picture - Drama,"Fighter, The",,FALSE
2010,2011,68,Best Motion Picture - Drama,Inception,,FALSE
2010,2011,68,Best Motion Picture - Drama,The King's Speech,,FALSE
2010,2011,68,Best Motion Picture - Musical or Comedy,"Kids Are All Right, The",,TRUE
2010,2011,68,Best Motion Picture - Musical or Comedy,Alice in Wonderland,,FALSE
2010,2011,68,Best Motion Picture - Musical or Comedy,Burlesque,,FALSE
2010,2011,68,Best Motion Picture - Musical or Comedy,Red,,FALSE
2010,2011,68,Best Motion Picture - Musical or Comedy,"Tourist, The",,FALSE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Natalie Portman,Black Swan,TRUE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Halle Berry,Frankie and Alice,FALSE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Rabbit Hole,FALSE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Jennifer Lawrence,Winter's Bone,FALSE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Michelle Williams,Blue Valentine,FALSE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Drama,Colin Firth,The King's Speech,TRUE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Drama,Ryan Gosling,Blue Valentine,FALSE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Drama,Mark Wahlberg,"Fighter, The",FALSE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Drama,Jesse Eisenberg,The Social Network,FALSE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Drama,James Franco,127 Hours,FALSE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,"Kids Are All Right, The",TRUE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Anne Hathaway,Love & Other Drugs,FALSE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Angelina Jolie,"Tourist, The",FALSE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julianne Moore,"Kids Are All Right, The",FALSE
2010,2011,68,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Easy A,FALSE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Giamatti,Barney's Version,TRUE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Alice in Wonderland,FALSE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,"Tourist, The",FALSE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jake Gyllenhaal,Love & Other Drugs,FALSE
2010,2011,68,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Spacey,Casino Jack,FALSE
2010,2011,68,Best Performance by an Actress in a Supporting Role in any Motion Picture,Melissa Leo,"Fighter, The",TRUE
2010,2011,68,Best Performance by an Actress in a Supporting Role in any Motion Picture,Helena Bonham Carter,The King's Speech,FALSE
2010,2011,68,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mila Kunis,Black Swan,FALSE
2010,2011,68,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jacki Weaver,Animal Kingdom,FALSE
2010,2011,68,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Adams,"Fighter, The",FALSE
2010,2011,68,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christian Bale,"Fighter, The",TRUE
2010,2011,68,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael Douglas,Wall Street: Money Never Sleeps,FALSE
2010,2011,68,Best Performance by an Actor in a Supporting Role in any Motion Picture,Andrew Garfield,The Social Network,FALSE
2010,2011,68,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jeremy Renner,"Town, The",FALSE
2010,2011,68,Best Performance by an Actor in a Supporting Role in any Motion Picture,Geoffrey Rush,The King's Speech,FALSE
2010,2011,68,Best Director - Motion Picture,David Fincher,The Social Network,TRUE
2010,2011,68,Best Director - Motion Picture,Darren Aronofsky,Black Swan,FALSE
2010,2011,68,Best Director - Motion Picture,Tom Hooper,The King's Speech,FALSE
2010,2011,68,Best Director - Motion Picture,Christopher Nolan,Inception,FALSE
2010,2011,68,Best Director - Motion Picture,David O. Russell,"Fighter, The",FALSE
2010,2011,68,Best Screenplay - Motion Picture,Aaron Sorkin,The Social Network,TRUE
2010,2011,68,Best Screenplay - Motion Picture,"Danny Boyle, Simon Beaufoy",127 Hours,FALSE
2010,2011,68,Best Screenplay - Motion Picture,"Lisa Cholodenko, Stuart Blumberg","Kids Are All Right, The",FALSE
2010,2011,68,Best Screenplay - Motion Picture,Christopher Nolan,Inception,FALSE
2010,2011,68,Best Screenplay - Motion Picture,David Seidler,The King's Speech,FALSE
2010,2011,68,Best Motion Picture - Animated,Toy Story 3,,TRUE
2010,2011,68,Best Motion Picture - Animated,How To Train Your Dragon,,FALSE
2010,2011,68,Best Motion Picture - Animated,"Illusionist, The",,FALSE
2010,2011,68,Best Motion Picture - Animated,Tangled,,FALSE
2010,2011,68,Best Motion Picture - Animated,Despicable Me,,FALSE
2010,2011,68,Best Motion Picture - Foreign Language,In A Better World,"Denmark, Susanne Bier",TRUE
2010,2011,68,Best Motion Picture - Foreign Language,Biutiful,"Spain, Mexico, Alejandro González Iñárritu",FALSE
2010,2011,68,Best Motion Picture - Foreign Language,The Concert,"France, Radu Mihaileanu",FALSE
2010,2011,68,Best Motion Picture - Foreign Language,The Edge,"Russia, Aleksey Uchitel",FALSE
2010,2011,68,Best Motion Picture - Foreign Language,I Am Love,"Italy, Luca Guadagnino",FALSE
2010,2011,68,Best Original Score - Motion Picture,"Trent Reznor, Atticus Ross",The Social Network,TRUE
2010,2011,68,Best Original Score - Motion Picture,Alexandre Desplat,The King's Speech,FALSE
2010,2011,68,Best Original Score - Motion Picture,Danny Elfman,Alice in Wonderland,FALSE
2010,2011,68,Best Original Score - Motion Picture,A. R. Rahman,127 Hours,FALSE
2010,2011,68,Best Original Score - Motion Picture,Hans Zimmer,Inception,FALSE
2010,2011,68,Best Original Song - Motion Picture,"""You Haven't Seen The Last of Me"", Diane Warren",Burlesque,TRUE
2010,2011,68,Best Original Song - Motion Picture,"""Coming Home"", Bob DiPiero, Tom Douglas, Hillary Lindsey, Troy Verges",Country Strong,FALSE
2010,2011,68,Best Original Song - Motion Picture,"I See The Light, Alan Menken, Glenn Slater",Tangled,FALSE
2010,2011,68,Best Original Song - Motion Picture,"""There's A Place For Us"", Carrie Underwood, David Hodges, Hillary Lindsey",The Chronicles of Narnia: The Voyage of The Dawn Treader,FALSE
2010,2011,68,Best Original Song - Motion Picture,"""Bound To You"", Sia, Christina Aguilera, Samuel Dixon",Burlesque,FALSE
2010,2011,68,Best Television Series - Drama,Boardwalk Empire,,TRUE
2010,2011,68,Best Television Series - Drama,Dexter,,FALSE
2010,2011,68,Best Television Series - Drama,The Good Wife,,FALSE
2010,2011,68,Best Television Series - Drama,Mad Men,,FALSE
2010,2011,68,Best Television Series - Drama,"Walking Dead, The",,FALSE
2010,2011,68,Best Television Series - Musical or Comedy,Glee,,TRUE
2010,2011,68,Best Television Series - Musical or Comedy,"Big Bang Theory, The",,FALSE
2010,2011,68,Best Television Series - Musical or Comedy,"Big C, The",,FALSE
2010,2011,68,Best Television Series - Musical or Comedy,Modern Family,,FALSE
2010,2011,68,Best Television Series - Musical or Comedy,Nurse Jackie,,FALSE
2010,2011,68,Best Television Series - Musical or Comedy,30 Rock,,FALSE
2010,2011,68,Best Television Limited Series or Motion Picture Made for Television,Carlos,,TRUE
2010,2011,68,Best Television Limited Series or Motion Picture Made for Television,The Pacific,,FALSE
2010,2011,68,Best Television Limited Series or Motion Picture Made for Television,Pillars Of The Earth,,FALSE
2010,2011,68,Best Television Limited Series or Motion Picture Made for Television,Temple Grandin,,FALSE
2010,2011,68,Best Television Limited Series or Motion Picture Made for Television,You Don't Know Jack,,FALSE
2010,2011,68,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Claire Danes,Temple Grandin,TRUE
2010,2011,68,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Judi Dench,Return To Cranford,FALSE
2010,2011,68,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Romola Garai,Emma,FALSE
2010,2011,68,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Jennifer Love Hewitt,"Client List, The",FALSE
2010,2011,68,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Hayley Atwell,Pillars Of The Earth,FALSE
2010,2011,68,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Al Pacino,You Don't Know Jack,TRUE
2010,2011,68,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Idris Elba,Luther,FALSE
2010,2011,68,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Ian McShane,Pillars Of The Earth,FALSE
2010,2011,68,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Dennis Quaid,"Special Relationship, The",FALSE
2010,2011,68,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Edgar Ramírez,Carlos,FALSE
2010,2011,68,Best Performance by an Actress In A Television Series - Drama,Katey Sagal,Sons of Anarchy,TRUE
2010,2011,68,Best Performance by an Actress In A Television Series - Drama,Julianna Margulies,The Good Wife,FALSE
2010,2011,68,Best Performance by an Actress In A Television Series - Drama,Elisabeth Moss,Mad Men,FALSE
2010,2011,68,Best Performance by an Actress In A Television Series - Drama,Piper Perabo,Covert Affairs,FALSE
2010,2011,68,Best Performance by an Actress In A Television Series - Drama,Kyra Sedgwick,"Closer, The",FALSE
2010,2011,68,Best Performance by an Actor In A Television Series - Drama,Steve Buscemi,Boardwalk Empire,TRUE
2010,2011,68,Best Performance by an Actor In A Television Series - Drama,Bryan Cranston,Breaking Bad,FALSE
2010,2011,68,Best Performance by an Actor In A Television Series - Drama,Michael C. Hall,Dexter,FALSE
2010,2011,68,Best Performance by an Actor In A Television Series - Drama,Jon Hamm,Mad Men,FALSE
2010,2011,68,Best Performance by an Actor In A Television Series - Drama,Hugh Laurie,House,FALSE
2010,2011,68,Best Performance by an Actress in a Television Series - Musical or Comedy,Laura Linney,"Big C, The",TRUE
2010,2011,68,Best Performance by an Actress in a Television Series - Musical or Comedy,Lea Michele,Glee,FALSE
2010,2011,68,Best Performance by an Actress in a Television Series - Musical or Comedy,Toni Collette,United States Of Tara,FALSE
2010,2011,68,Best Performance by an Actress in a Television Series - Musical or Comedy,Edie Falco,Nurse Jackie,FALSE
2010,2011,68,Best Performance by an Actress in a Television Series - Musical or Comedy,Tina Fey,30 Rock,FALSE
2010,2011,68,Best Performance by an Actor in a Television Series - Musical or Comedy,Jim Parsons,"Big Bang Theory, The",TRUE
2010,2011,68,Best Performance by an Actor in a Television Series - Musical or Comedy,Alec Baldwin,30 Rock,FALSE
2010,2011,68,Best Performance by an Actor in a Television Series - Musical or Comedy,Steve Carell,"Office, The",FALSE
2010,2011,68,Best Performance by an Actor in a Television Series - Musical or Comedy,Thomas Jane,Hung,FALSE
2010,2011,68,Best Performance by an Actor in a Television Series - Musical or Comedy,Matthew Morrison,Glee,FALSE
2010,2011,68,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jane Lynch,Glee,TRUE
2010,2011,68,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Sofia Vergara,Modern Family,FALSE
2010,2011,68,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Hope Davis,"Special Relationship, The",FALSE
2010,2011,68,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kelly MacDonald,Boardwalk Empire,FALSE
2010,2011,68,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Julia Stiles,Dexter,FALSE
2010,2011,68,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Chris Colfer,Glee,TRUE
2010,2011,68,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Scott Caan,Hawaii Five-O,FALSE
2010,2011,68,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Chris Noth,The Good Wife,FALSE
2010,2011,68,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Eric Stonestreet,Modern Family,FALSE
2010,2011,68,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Strathairn,Temple Grandin,FALSE
2010,2011,68,Cecil B. deMille Award,Robert De Niro,,FALSE
2011,2012,69,Best Motion Picture - Drama,"Descendants, The",,TRUE
2011,2012,69,Best Motion Picture - Drama,Moneyball,,FALSE
2011,2012,69,Best Motion Picture - Drama,War Horse,,FALSE
2011,2012,69,Best Motion Picture - Drama,The Help,,FALSE
2011,2012,69,Best Motion Picture - Drama,Hugo,,FALSE
2011,2012,69,Best Motion Picture - Drama,"Ides of March, The",,FALSE
2011,2012,69,Best Motion Picture - Musical or Comedy,The Artist,,TRUE
2011,2012,69,Best Motion Picture - Musical or Comedy,50/50,,FALSE
2011,2012,69,Best Motion Picture - Musical or Comedy,Bridesmaids,,FALSE
2011,2012,69,Best Motion Picture - Musical or Comedy,Midnight In Paris,,FALSE
2011,2012,69,Best Motion Picture - Musical or Comedy,My Week With Marilyn,,FALSE
2011,2012,69,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,"Iron Lady, The",TRUE
2011,2012,69,Best Performance by an Actress in a Motion Picture - Drama,Glenn Close,Albert Nobbs,FALSE
2011,2012,69,Best Performance by an Actress in a Motion Picture - Drama,Viola Davis,The Help,FALSE
2011,2012,69,Best Performance by an Actress in a Motion Picture - Drama,Rooney Mara,The Girl With The Dragon Tattoo,FALSE
2011,2012,69,Best Performance by an Actress in a Motion Picture - Drama,Tilda Swinton,We Need To Talk About Kevin,FALSE
2011,2012,69,Best Performance by an Actor in a Motion Picture - Drama,George Clooney,"Descendants, The",TRUE
2011,2012,69,Best Performance by an Actor in a Motion Picture - Drama,Ryan Gosling,"Ides of March, The",FALSE
2011,2012,69,Best Performance by an Actor in a Motion Picture - Drama,Brad Pitt,Moneyball,FALSE
2011,2012,69,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,J. Edgar,FALSE
2011,2012,69,Best Performance by an Actor in a Motion Picture - Drama,Michael Fassbender,Shame,FALSE
2011,2012,69,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Michelle Williams,My Week With Marilyn,TRUE
2011,2012,69,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jodie Foster,Carnage,FALSE
